,action->nil,action->hold,action->newaction,nil->hold,nil->action
1,305.0,2342.0,48.0,1892.0,661.0
2,1280.0,999.0,62.0,1089.0,797.0
3,588.0,383.0,26.0,890.0,194.0
4,78.0,299.0,6.0,802.0,84.0
5,40.0,254.0,4.0,735.0,64.0
6,47.0,202.0,2.0,672.0,62.0
7,36.0,163.0,2.0,610.0,60.0
8,14.0,145.0,3.0,561.0,49.0
9,17.0,126.0,2.0,522.0,39.0
10,17.0,109.0,0.0,485.0,37.0
11,19.0,90.0,0.0,444.0,41.0
12,18.0,72.0,0.0,389.0,53.0
13,12.0,59.0,1.0,307.0,81.0
14,9.0,49.0,1.0,242.0,65.0
15,5.0,44.0,0.0,186.0,56.0
16,2.0,42.0,0.0,147.0,39.0
17,4.0,37.0,1.0,123.0,24.0
18,2.0,35.0,0.0,108.0,15.0
19,2.0,33.0,0.0,97.0,11.0
20,0.0,33.0,0.0,85.0,12.0
21,2.0,30.0,0.0,73.0,12.0
22,1.0,29.0,0.0,66.0,7.0
23,0.0,29.0,0.0,59.0,7.0
24,0.0,28.0,1.0,53.0,6.0
25,0.0,28.0,0.0,46.0,7.0
26,0.0,28.0,0.0,40.0,6.0
27,0.0,28.0,0.0,31.0,9.0
28,0.0,28.0,0.0,29.0,2.0
29,0.0,28.0,0.0,27.0,2.0
30,1.0,26.0,0.0,25.0,2.0
31,0.0,26.0,0.0,21.0,4.0
32,1.0,25.0,0.0,20.0,1.0
33,0.0,24.0,1.0,19.0,1.0
34,1.0,23.0,0.0,18.0,1.0
35,0.0,23.0,0.0,16.0,2.0
36,0.0,23.0,0.0,14.0,2.0
37,1.0,21.0,1.0,12.0,2.0
38,0.0,21.0,0.0,12.0,0.0
39,0.0,20.0,1.0,11.0,1.0
40,0.0,20.0,0.0,10.0,1.0
41,0.0,20.0,0.0,8.0,2.0
42,1.0,19.0,0.0,7.0,1.0
43,1.0,18.0,0.0,7.0,0.0
44,0.0,18.0,0.0,7.0,0.0
45,0.0,17.0,1.0,7.0,0.0
46,0.0,17.0,0.0,7.0,0.0
47,0.0,17.0,0.0,6.0,1.0
48,0.0,17.0,0.0,6.0,0.0
49,1.0,16.0,0.0,6.0,0.0
50,0.0,16.0,0.0,5.0,1.0
51,0.0,16.0,0.0,4.0,1.0
52,0.0,16.0,0.0,4.0,0.0
53,0.0,16.0,0.0,3.0,1.0
54,1.0,15.0,0.0,2.0,1.0
55,0.0,15.0,0.0,2.0,0.0
56,1.0,14.0,0.0,2.0,0.0
57,0.0,14.0,0.0,2.0,0.0
58,0.0,14.0,0.0,2.0,0.0
59,0.0,14.0,0.0,2.0,0.0
60,0.0,14.0,0.0,2.0,0.0
61,0.0,14.0,0.0,2.0,0.0
62,0.0,13.0,1.0,2.0,0.0
63,0.0,12.0,1.0,2.0,0.0
64,1.0,11.0,0.0,2.0,0.0
65,0.0,11.0,0.0,2.0,0.0
66,0.0,11.0,0.0,2.0,0.0
67,0.0,11.0,0.0,2.0,0.0
68,0.0,11.0,0.0,1.0,1.0
69,0.0,11.0,0.0,1.0,0.0
70,0.0,11.0,0.0,1.0,0.0
71,0.0,11.0,0.0,1.0,0.0
72,0.0,11.0,0.0,1.0,0.0
73,0.0,10.0,1.0,1.0,0.0
74,0.0,10.0,0.0,1.0,0.0
75,0.0,10.0,0.0,1.0,0.0
76,0.0,10.0,0.0,1.0,0.0
77,0.0,10.0,0.0,1.0,0.0
78,0.0,10.0,0.0,0.0,1.0
79,0.0,10.0,0.0,0.0,0.0
80,0.0,10.0,0.0,0.0,0.0
81,0.0,10.0,0.0,0.0,0.0
82,0.0,10.0,0.0,0.0,0.0
83,0.0,10.0,0.0,0.0,0.0
84,0.0,10.0,0.0,0.0,0.0
85,0.0,10.0,0.0,0.0,0.0
86,0.0,10.0,0.0,0.0,0.0
87,0.0,10.0,0.0,0.0,0.0
88,0.0,10.0,0.0,0.0,0.0
89,0.0,10.0,0.0,0.0,0.0
90,0.0,9.0,1.0,0.0,0.0
91,0.0,9.0,0.0,0.0,0.0
92,0.0,9.0,0.0,0.0,0.0
93,0.0,9.0,0.0,0.0,0.0
94,0.0,9.0,0.0,0.0,0.0
95,0.0,9.0,0.0,0.0,0.0
96,0.0,9.0,0.0,0.0,0.0
97,0.0,9.0,0.0,0.0,0.0
98,0.0,8.0,1.0,0.0,0.0
99,0.0,8.0,0.0,0.0,0.0
100,6.0,548.0,2.0,0.0,0.0
