,nil->hold,nil->action
1,1892.0,661.0
2,1089.0,797.0
3,890.0,194.0
4,802.0,84.0
5,735.0,64.0
6,672.0,62.0
7,610.0,60.0
8,561.0,49.0
9,522.0,39.0
10,485.0,37.0
11,444.0,41.0
12,389.0,53.0
13,307.0,81.0
14,242.0,65.0
15,186.0,56.0
16,147.0,39.0
17,123.0,24.0
18,108.0,15.0
19,97.0,11.0
20,85.0,12.0
21,73.0,12.0
22,66.0,7.0
23,59.0,7.0
24,53.0,6.0
25,46.0,7.0
26,40.0,6.0
27,31.0,9.0
28,29.0,2.0
29,27.0,2.0
30,25.0,2.0
31,21.0,4.0
32,20.0,1.0
33,19.0,1.0
34,18.0,1.0
35,16.0,2.0
36,14.0,2.0
37,12.0,2.0
38,12.0,0.0
39,11.0,1.0
40,10.0,1.0
41,8.0,2.0
42,7.0,1.0
43,7.0,0.0
44,7.0,0.0
45,7.0,0.0
46,7.0,0.0
47,6.0,1.0
48,6.0,0.0
49,6.0,0.0
50,5.0,1.0
51,4.0,1.0
52,4.0,0.0
53,3.0,1.0
54,2.0,1.0
55,2.0,0.0
56,2.0,0.0
57,2.0,0.0
58,2.0,0.0
59,2.0,0.0
60,2.0,0.0
61,2.0,0.0
62,2.0,0.0
63,2.0,0.0
64,2.0,0.0
65,2.0,0.0
66,2.0,0.0
67,2.0,0.0
68,1.0,1.0
69,1.0,0.0
70,1.0,0.0
71,1.0,0.0
72,1.0,0.0
73,1.0,0.0
74,1.0,0.0
75,1.0,0.0
76,1.0,0.0
77,1.0,0.0
78,0.0,1.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
