,action->nil,action->hold,action->newaction
1,0.0973936899863,0.886145404664,0.0164609053498
2,0.28253968254,0.687301587302,0.0301587301587
3,0.294811320755,0.674528301887,0.0306603773585
4,0.193548387097,0.774193548387,0.0322580645161
5,0.173708920188,0.802816901408,0.0234741784038
6,0.1,0.870588235294,0.0294117647059
7,0.2,0.793103448276,0.00689655172414
8,0.252173913043,0.695652173913,0.0521739130435
9,0.2,0.7,0.1
10,0.285714285714,0.625,0.0892857142857
11,0.257142857143,0.542857142857,0.2
12,0.473684210526,0.473684210526,0.0526315789474
13,0.333333333333,0.333333333333,0.333333333333
14,0.666666666667,0.333333333333,0.0
15,0.0,0.0,1.0
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
