,nil->hold,nil->action
1,0.732193732194,0.267806267806
2,0.673228346457,0.326771653543
3,0.769230769231,0.230769230769
4,0.74609375,0.25390625
5,0.752688172043,0.247311827957
6,0.789855072464,0.210144927536
7,0.752380952381,0.247619047619
8,0.79746835443,0.20253164557
9,0.730158730159,0.269841269841
10,0.75,0.25
11,0.69696969697,0.30303030303
12,0.666666666667,0.333333333333
13,0.833333333333,0.166666666667
14,0.6,0.4
15,1.0,0.0
16,1.0,0.0
17,1.0,0.0
18,0.5,0.5
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
