,action->nil,action->hold,action->newaction
1,0.176332288401,0.798589341693,0.025078369906
2,0.555114200596,0.409136047666,0.0357497517378
3,0.508816120907,0.450881612091,0.0403022670025
4,0.267045454545,0.710227272727,0.0227272727273
5,0.19512195122,0.79674796748,0.00813008130081
6,0.224489795918,0.714285714286,0.0612244897959
7,0.144927536232,0.811594202899,0.0434782608696
8,0.214285714286,0.696428571429,0.0892857142857
9,0.153846153846,0.794871794872,0.0512820512821
10,0.387096774194,0.516129032258,0.0967741935484
11,0.3125,0.5,0.1875
12,0.25,0.625,0.125
13,0.2,0.4,0.4
14,0.5,0.5,0.0
15,0.0,0.0,1.0
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
