,nil->hold,nil->action
1,950.0,227.0
2,639.0,308.0
3,495.0,141.0
4,415.0,80.0
5,326.0,89.0
6,266.0,60.0
7,211.0,54.0
8,173.0,37.0
9,140.0,33.0
10,114.0,26.0
11,93.0,21.0
12,77.0,16.0
13,64.0,13.0
14,56.0,8.0
15,49.0,7.0
16,48.0,1.0
17,41.0,7.0
18,35.0,6.0
19,32.0,3.0
20,29.0,3.0
21,25.0,4.0
22,23.0,2.0
23,20.0,3.0
24,19.0,1.0
25,16.0,3.0
26,16.0,0.0
27,14.0,2.0
28,14.0,0.0
29,13.0,1.0
30,13.0,0.0
31,13.0,0.0
32,11.0,2.0
33,10.0,1.0
34,9.0,1.0
35,9.0,0.0
36,8.0,1.0
37,5.0,3.0
38,5.0,0.0
39,4.0,1.0
40,4.0,0.0
41,4.0,0.0
42,4.0,0.0
43,3.0,1.0
44,3.0,0.0
45,3.0,0.0
46,3.0,0.0
47,3.0,0.0
48,3.0,0.0
49,3.0,0.0
50,3.0,0.0
51,3.0,0.0
52,3.0,0.0
53,3.0,0.0
54,3.0,0.0
55,3.0,0.0
56,3.0,0.0
57,3.0,0.0
58,3.0,0.0
59,3.0,0.0
60,3.0,0.0
61,3.0,0.0
62,3.0,0.0
63,3.0,0.0
64,3.0,0.0
65,3.0,0.0
66,3.0,0.0
67,3.0,0.0
68,3.0,0.0
69,3.0,0.0
70,3.0,0.0
71,3.0,0.0
72,3.0,0.0
73,2.0,1.0
74,2.0,0.0
75,2.0,0.0
76,1.0,1.0
77,1.0,0.0
78,1.0,0.0
79,1.0,0.0
80,1.0,0.0
81,1.0,0.0
82,1.0,0.0
83,1.0,0.0
84,1.0,0.0
85,1.0,0.0
86,1.0,0.0
87,0.0,1.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
